Product Code,Product Name
103875,"UTP CABLE,CAT-6"
103958,PRINTER INK
104114,MICRO PHONE WIRE 
103971,TELEPHONE CABLE
103675,POWER SUPPLY
103871,LAPTOP HDD
103872,DESKTOP HDD
103878,CONNECTOR - RJ45
103882,WALL MOUNT KIT - PROJECTOR
103884,VGA CABLE
103885,HDMI CABLE
103886,POWER CABLE
103889,POWER ADAPTER
103892,MOUSE USB
103893,MOUSE WIRELESS
103894,MOUSE PAD
103895,KEYBOARD USB
103904,LAPTOP BATTERY
103905,LAPTOP ADAPTER
103907,MOTHERBOARD
103908,PENDRIVE
103910,DEVELOPER
103911,RECOVERY BLADE
103913,FUSER ROLLER
103914,SCRAPER
103915,K-ROLL-FEED
103916,K-ROLL-SPT
103917,MAIN MOTOR GEAR
103922,THERMISTOR
103923,EXIT COVER
103927,CIS UNIT
103928,ASYS-ROL-RGST
103929,ROLLER-RELAY-FED
103930,ASYS-GID-RGST-L-374
103931,ASYS-GID-RGST-R-371
103933,ASYS-HLDR-DEV-371
103935,PORTABLE HDD
103936,PRESSURE ROLLER
103941,CLEANING CARD KIT -SHORT
103942,CLEANING CARD KIT - LONG
103943,PICKUP ROLLER
103944,TELEPHONE SET ( IPT)
103948,PRINTER TONER
103955,PRINTER CARTRIDGE
103957,PLOTTER (PRINTER)CARTRIDGE
103962,CC CAMERA
103963,PRINTER
103964,SCANNER
103965,PROJECTOR SCREEN
103966,PLOTTER (PRINTER) KNIFE
103969,ELECTROMEGNETIC LOCK BRACKET
103970,TELEPHONE CORD
104024,TRANSISTOR
104026,"PANEL BOARD, E-232/282"
104027,CHARGER COVER 
104028,DRUM (OD-1600)
104029,BLADE (BL-2320D)
104030,DEVELOPER (D-2320)
104031,ROLL GUIDE 371
104035,NPG-51 DRUM UNIT
104036,FUSER FILM
104037,BLOOTH SPEAKER 
104056,EXTERNAL CD ROM
104107,IP CAMERA
104109,AUDIO FILTER CIRCUIT
104111,RC CONNECTOR
104177,LAPTOP LED
104360,ARM TRAY SEP
104368,GEAR (DV UNIT)
104369,MAIN MOTOR
104370,"TR GEAR, PHOTO COPY M/C"
104382,MASTER IP PHONE
104387,LOCK BRACKET Z TYPE 
104434,PRINTER GEAR
104483,FUSER UNIT
104513,PHOTOCOPIER TONER
104561,"UPS CABLE, C14-C13, 10AMP"
104562,"PDU, 8WAY, C13 SOCKET TO C14"
104565,REVON
104567,"PRINTER PAPER EXISTING PART, HP LASER JET 401"
104568,"BATTER, NB-6LH"
104589,MEMORY CARD
104667,WIRELESS MICRO PHONE
105249,VGA TO HDMI CONVERTER
105250,USB TO HDMI CONVERTER
105251,USB TO VGA CONVERTER
105252,C PORT TO HDMI CONVERTER
105334,PRINTER PAPER TRAY
105358,USB TO USB CONVERTER
105359,USB TO LAN PORT CONVERTER
105360,USB SPEAKER
105361,LAPTOP BAG
105379,ASYS-ROLL-PICK-371
105447,LAPTOP CHARGER 
105512,LAPTOP KEYBOARD
105549,LIGHTING TO USB CABLES
105551,I PHONE USB DATA CABLE 
105579,MONITOR
105580,DATA CABLE FOR CAMERA
105609,THMS-HTR
105616,FRONT COVER FOR PRINTER
105655,WIFI USB ADOPTER
105656,SATA TO USB CONVERTER
105664,GEAR
105678,ATTENDANCE DEVICE
105688,HEAD PHONE 
105700,LAPTOP RIBBON
105704,PANEL BOARD
105708,UPS BATTERY
105731,BARCODE SCANNER 
105775,SFP MODULE
105776,PATCH CORD 
105777,TJ BOX
105780,BARCODE PRINTER
105781,LASER PRINTER
105791,GEAR-10H27-PS2M32-6
105792,GEAR-10H27-PS2M41-6
105793,ASYS -GEAR-8M35-8-JOIN-B
105794,ASYS-GEAR-JOIN-BELT
105795,BLT-SY-S2M-250-4
105796,BLT-SY-S2M-266-4
105797,BLT-SY-S3M-222-4
105823,PRINTER HEAD
105842, HEAD CARTRIDGE BACK BOARD
105845,DEVELOPER UNIT
105846,DEVELOPER (D-2505)
105856,DOCOMENT GLASS
105864,PRINT KEY START
105880,LAPTOP SSD
105881,LAPTOP STAND
105897,UPS
105898,DIGITAL CAMERA
105906,COOLING FAN FOR CPU
105972,HEATER ROLLER 
103967,BARCODE STICKER
103968,RIBBON
104006,COLOR RIBBON
