Product Code,Product Name
103404,ATTACHMENT SET
103598,MALEFEMALE SOCKET
103622,CABLE NUMBERING
103642,IRON PUSH KEY (HEAT IRON)
103645,STEAM IRON PUSH KEY
103704,CARBON BRUSH
103748,FILE RAT SET
103816,THAI LOCK
104075,COMPRESSORE FILTER KIT SET
104788,SS NUT BOLT & SPRING WASHER 
104878,MOTOR PULLEY COVER
104919,ANTI PACKING GAUGE SET
104926,NEEDLE BAR CONNECTING 
104933,GAUGE SET
104937,LOOPER HOLDER
104967,NEEDLE BAR CONNECTING (AUTO)
104986,JAW LEVER CLAM
105001,CUFLING
105003,B/T JAW LEVER CLAMP
105024,FEED DOG SET
105054,MULTI NEEDLE THREAD STAND 
105090,RH & LH SHARPENER 
105097,RH & LH SHOE
105106,NUT FOR SCREW SHUFT
105108,RH LH SLIDE WITH PULLEY
105124,MALE FEMALE SOCKET
105129,OIL PAD HOLDER 
105172,COMPRESSURE FILTER KIT SET
105431,THREAD TAKE UP LEVER ASM
105657,ZIP PATTERN GAUGE SET
105914,EYE WASH
105979,ALLEN KEY SET
105991,INVERTER
104076,COMPRESSORE OIL
104090,LUBRICANT
104168,SR AICA
105539,BREAK OIL
105989,RADIATOR SERVICING OIL
103818,REVIT
103638,METAL FLAXIBLE PIPE
103731,BURNISH
103732,AICA
103749,GREASE (TOKYO)
103760,SAFTY SHOE
103761,HAND GLOVES (RUBBER)
105813,PVC CLEAR SHEET
104430,MEHGUNI WOOD
105454,GORGON WOOD
104081,SS SHEET (MAGNET)
104140,SS NET
105276,GI SHEET
104015,COPPER PIPE
104082,SS ROD
104141,MS ANGLE
104143,SS BOX (1/2*1.5*1.5MM)
104163,PVC FLEXIBLE PIPE 
104167,AZIN
104322,LOTA PIPE 
104450,"ALUMINIUM SHEET, 24 GAUGE, W4'"
104575,SS CHAIN
104795,PVC FLEXIBLE PIPE
105266,UPVC PIPE 
105270,BREAKER CHANNEL
105277,SS PIPE
105382,PVC PIPE
105383,PVC CHANNEL
105591,MS PIPE 
105808,TAFLON ROD
105828,WRAPPING FOR RELAXATION M/C
105850,THREAD PIPE
105893,MS BOX PIPE 12 GAUGE
105901,HOSE PIPE
105905,GI PIPE
105918,COMPRESSOR HOSE PIPE 
105996,CURTAIN WIRE
103641,IRON FLAXIBLE CABLE
103672,2 CORE CABLE
103673,3 CORE CABLE
103676,CABLE
103683,TAPLON CLOTH
104787,TAFLON CLOTH
105147,HEAT PROVED TEFLON BELT 
105271,HIT SHING
105862,SILICON FOAM
105863,POLESTAR FABRIC
103686,CARTAIN WIRE
103697,FIRE CABLE
103740,AIR PIPE
104755,TAFETA FABRIC
105696,OIL PIPE
105810,HEAT PROOF REXIN
104124,TOP KATA
104452,POP RIVET
103803,SEAL GALA
102965,TORCH LIGHT
103100,OIL TEE
103245,CUTTER DRIVING SHAF
103263,SLID BLOCK STUD
103418,ON OFF SWITCH
103458,V-BELT
103502,THREE BOND GUM
103503,HEAT SEAL MACHINE
103508,ANTY CUTTER
103509,ANTY CUTTER KNIFE
103515,CUTTER
103516,CUTTER SPECIAL
103520,COLLAR SEWING GAUGE
103522,FLYING GUIDE /HANGER
103523,FABRIC COMB STEEL
103528,IRON SHINING PLATE
103529,IRON PLATE
103532,MOTOR BRECK SHOW
103536,SHEET CUTTER
103537,SCISSORS
103544,TWIZER
103545,TRACHING WHEEL
103546,TAG GUN M/C
103547,THERMO PAPER
103551,GUM TAPE CUTTER MACHINE
103564,BEARING
103565,BEARING CASE
103566,CAPACITOR
103567,CIRCUIT BREAKER BOX
103568,CARBON FUSE
103569,BATTERY
103570,MULTI PLUG
103571,4 GANG SWITCH
103572,3 GANG SWITCH
103573,2 GANG SWITCH
103574,1 GANG SWITCH
103575,BED SWITCH
103577,FOG LIGHT SWITCH
103578,3PIN SOCKET (FLAT)
