Product Code,Product Name
102649,SLIPPER TOILET
102687,SLIPPER ( MANAGER)
103019,SLIPPER( MENS)
105683,PAPER FILE DEVIDER 
102626,LIQUID SOAP (HAND WASH)
103030,SAVLON
105648,LIFEBOY HAND WASH
102656,ARROW STICKER
102809,QC PASS STICKER
105368,QA PASSED STICKER
105889,COLOR STICKER 
102681,WHITE PAPER A4
102682,WHITE PAPER (LEGAL)
104057,CUT PANEL INSPECTION REPORT
104058,DAILY MR CHECK REGISTER
104059,GOODS IN REGISTER
104060,GOODS OUT REGISTER
104062,LETTER OUT REGISTER
104104,QAD REPORT BOOK
104061,LETTER IN REGISTER
104106,GATE PASS BOOK (HO)
104112,METAL ITEM INSPECTION REPORT
104113,ADVANCE OVER TIME BOOK
102644,COTTON BUDS
102653,COFFEE
102665,BOARD PIN
102673,TAILORING CHALK
102995,MAGIC CHALK
105450,ODONIL
102638,BLICIN POWDER
102988,FILE TAG
104033,"FLOOR MAT, SHAMI TYPE"
102645,REXINE
104032,CHOCOLATE
104097,JAMES CLIP
104098,STAPLER PIN 
104100,HAND TOWEL 
104405,CHIPS
104407,KAJU NUT
104429,FILE CLIP ( STEEL)
104437,SUGER SACHET
104438,ZERO CAL
104439,GREEN TEA
105335,STRIP
105649,HAND GLOVES 
102650,BISCUIT ( CHOISE)
102651,BISCUIT ( ORANGE)
102652,BISCUIT ( PINEAPPLE)
104139,BISCUIT (TOP NUT)
105672,BISCUIT (LEXUS)
105953,BISCUIT (SALTES)
102623,CONDENSED MILK
102627,GLASS & HOUSEBOLD CLEANER
102628,TOILET TISSUE
102629,SOAP
102634,LIFEBUOY PUMP
102636,HARPIC
102637,PHENYLE
102639,TISSUE BOX
102640,FLOWER BROOM
102641,COCONUT BROOM
102642,BIB COCK
102646,SPOON
102647,LIQUID DISPENSER
102654,MUM WATER
102657,AEROSOL SPRAY
102658,ADHESIVE STICKER
102660,BOX FILE
102661,BOARD CHALK
102662,BOTH SIDE TAPE
102663,BOARD DUSTER
102664,BATTERY 9 VOL
102666,BALLUN RUBBER
102667,CLIP BOARD (PLASTIC0
102668,CALCULATOR
102669,CALCULATOR (L)
102670,CANDLE
102672,TOOTH BRUSH
102675,TABLE PENCIL CUTTER
102676,TELEPHONE INDEX
102677,YOUTH INK
102678,VOMOR
102679,WATER SPONGE
102680,WHITE BOARD MARKER
102683,MONTEX PEN
102684,SCOTCH TAPE 1/2''
102685,SCOTCH TAPE 1''
102688,CLASSIC MARKER
102689,RING FILE ( PLASTIC)
102690,ID PROXIMITY CARD COVER
102692,RECRUITMENT TEST
102694,AGE ESTIMATION FORM
102695,JOB HISTORY
102696,EMPLOYEE'S BACKGROUND VERIFICATION (BGL)
102697,EMPLOYEE'S BACKGROUND VERIFICATION (BDL)
102698,DAILY ATTENDANCE REPORT NEW
102699,APPOINTMENT LETTER BGL
102700,APPOINTMENT LETTER BDL
102701,JOB APPLICATION FORM (BGL)
102702,JOB APPLICATION FORM (BDL)
